,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
PCEPILFE_YoY,0.8085029949201508,0.20289155665141373,-0.1892210967955659,-0.1113268556529383,-0.24417175683238734,-0.09624468794922877,0.08080867733409881,0.016836521301021232,-0.16410454597406093,0.1916098917779098
PCEPILFE_MoM,0.6995489213966836,-0.15400695729075592,-0.2390400550917173,-0.19729368958657637,-0.13930296579489307,-0.09425420199157396,0.29812721211153986,0.21763706605141514,-0.1207182883410857,0.17577172862517668
UNRATE,-0.5492575338196279,-0.2916387855613684,0.42481294198894703,-0.44849302473050523,-0.07546618010885078,-0.15490313138777298,0.0029222610914555074,0.1202133225129135,0.18269069566523866,-0.22468485630483265
NROU,-0.32923184187058896,-0.2276782477011812,0.8398862227081548,0.16698302316298844,0.13945179218621154,-0.06723189557318723,-0.05959401422728569,0.05453695620726028,-0.0436556984709304,0.06988693881852924
GDPC1,0.35012521602825947,0.05498766820771404,-0.11988694977903909,0.2183453437500451,0.5739381538162298,-0.3691508119514923,0.20903066367553916,0.17768941351964243,0.34379827969675847,-0.08640814031742428
GDPPOT,0.056454671886959254,0.06083882039935088,0.20071643183662372,0.2671680835779326,-0.16968751071253804,0.4744780320342031,0.7088123762187948,-0.2099318032958852,0.26160631803786,-0.07920995540648179
INDPRO,0.26631524953397445,-0.8206680320504538,-0.1819187835900086,0.1480299343542882,0.05389150011614676,-0.034126440140828274,0.04308067585809165,-0.004079215492379787,-0.08279246821120835,-0.07961879235664944
RSAFS,0.11934504477765207,-0.8019186059507607,-0.2167511845519468,-0.0716333383047964,-0.20060288768246515,0.20138660480344434,-0.05427087969243992,-0.06631466515193431,-0.07874155260650335,-0.11968358917527276
MCOILWTICO,0.6038505148651563,-0.1531786323355916,0.2996234486360959,-0.42301046676267207,0.3394842114895053,0.2199510425867429,0.09594433090560069,0.16271949832521848,-0.1244068447867672,0.11733326803941002
IR,0.6271005698154177,-0.06391741346898837,0.4437499042286117,-0.3515974639438063,0.26895271029288564,0.25046900380093456,-0.025150261374705142,0.04312001095390621,-0.13620979584794424,0.009408290092647533
OPHNFB,-0.3353314259635676,-0.3565175366741546,-0.17287144436515336,0.013702550423965234,-0.40471173340942873,0.14122978247879575,-0.01466619110362822,0.6498031201729065,0.18336893238348453,-0.04633279382108489
CES0500000003,-0.010545248129380801,0.8275713929490839,0.07093820024573229,-0.2930543695852809,-0.03196209108551481,0.02636500737304823,-0.0331602532058297,0.18828654629927957,0.22827765713072085,0.12239315383522459
CIVPART,-0.12978136044079422,-0.14076662955517555,0.8309478147313559,0.4241598662943801,-0.01579289169388773,0.030321267986344536,0.0016997989045867833,0.09906101455318213,-0.1140505078387551,0.21606266787787526
JTSJOL,0.06661874284259126,-0.5581895956126786,-0.13851446623108304,-0.19975410231438775,0.1007576590801244,0.09723784231417411,-0.217354530252618,-0.2687994343879387,0.5036309803382153,0.471772062405732
FEDFUNDS,0.4688498889900432,0.22177991307973705,0.01714992744578615,0.5893610796334402,-0.36985542309315284,0.23279691678655315,-0.23347443149747937,0.17970560862823573,0.03587405438045998,0.16575381293080382
M2SL,-0.46669106487652623,0.2423994097848772,0.07828965272187641,-0.559286795433417,-0.21688435423821423,0.3670257643627335,-0.1032662743316065,-0.049405279668286964,0.04528893842283283,-0.07539634823075314
WALCL,-0.5703210907016216,-0.1930393237604994,0.12621582710630383,-0.2838070732666245,-0.2911827993582436,-0.3801354167662181,0.34270737623001146,0.09950991355006678,-0.04096934251332043,0.27196007308717907
T5YIE,0.9180573599631418,-0.014452972575692386,0.06900987584560507,-0.06287266725852401,0.0022265925076535315,0.045318869616979444,-0.09501451022941175,0.12790562079067463,0.14326706421772162,-0.11828341268988092
T10YIE,0.8502831225453947,-0.08425020829203433,0.2751376192448411,-0.020160188666553308,0.03976816513313567,-0.01086266504835812,-0.09946593830423407,0.09698656225267095,0.20438162842453747,-0.1833674940064153
PX_MD,0.7263537502852258,0.033635711644843413,0.2084628602622344,-0.26844943534820115,-0.37172437612245723,-0.23181001932634465,0.0452575838434055,-0.20871685688640756,-0.053310639581452615,-0.05061547128214435
PX5_MD,0.46028808577140795,0.0007018087404603349,0.4071834074189171,0.06668580760102302,-0.566299570210407,-0.3028422531475466,-0.10250071106439668,-0.2101648366889717,0.19520663413342013,-0.12813257581234985
